No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,2,950,19625
1,2020,2,8,17,850,19263
2,2020,2,6,9,830,28115
3,2020,2,9,18,850,19263
4,2020,2,24,5,950,19625
5,2020,2,2,21,950,19625
6,2020,2,22,6,1000,13481
7,2020,2,5,11,950,19625
8,2020,2,24,9,1000,13481
9,2020,2,23,14,830,19263
10,2020,2,3,2,830,28115
11,2020,2,24,5,830,19263
12,2020,2,6,8,850,19263
13,2020,2,18,7,830,28115
14,2020,2,13,8,830,28115
15,2020,2,6,3,950,19625
16,2020,2,4,4,830,28115
17,2020,2,22,23,820,33448
18,2020,2,23,23,880,30867
19,2020,2,8,21,880,30867
20,2020,2,10,17,950,19625
21,2020,2,2,14,830,28115
22,2020,2,21,16,830,19263
23,2020,2,23,16,830,28115
24,2020,2,4,20,850,19263
25,2020,2,24,14,820,33448
26,2020,2,13,17,850,19263
27,2020,2,2,13,850,19263
28,2020,2,22,14,830,28115
29,2020,2,20,20,870,24101
30,2020,2,7,20,830,28115
31,2020,2,23,12,820,33448
32,2020,2,22,12,870,24101
33,2020,2,7,6,850,19263
34,2020,2,22,5,950,19625
35,2020,2,21,16,870,24101
36,2020,2,5,12,830,28115
37,2020,2,12,14,830,28115
38,2020,2,9,15,880,30867
39,2020,2,3,7,850,19263
40,2020,2,21,6,830,28115
41,2020,2,9,8,950,19625
42,2020,2,19,23,950,19625
43,2020,2,18,7,880,30867
44,2020,2,5,4,850,19263
45,2020,2,3,3,950,19625
46,2020,3,25,10,950,24304
47,2020,2,21,22,820,33448
48,2020,2,20,8,830,19263
49,2020,2,5,14,880,30867
50,2020,4,9,11,870,44100
51,2020,2,12,7,950,19625
52,2020,2,24,16,870,24101
53,2020,2,20,18,950,19625
54,2020,2,4,0,880,30867
55,2020,2,22,0,830,19263
56,2020,2,25,8,1000,13481
57,2020,2,14,4,880,30867
58,2020,2,13,6,880,30867
59,2020,2,23,16,950,19625
60,2020,2,22,23,880,30867
61,2020,2,27,12,820,33448
62,2020,2,17,13,830,28115
63,2020,2,18,5,870,24101
64,2020,2,25,10,820,33448
65,2020,2,24,10,920,24304
66,2020,2,12,13,850,19263
67,2020,2,3,5,880,30867
68,2020,2,8,17,950,19625
69,2020,2,14,4,850,19263
70,2020,2,21,10,1000,13481
71,2020,2,20,21,830,28115
72,2020,2,13,17,950,19625
73,2020,2,6,18,880,30867
74,2020,3,25,11,920,26541
75,2020,2,19,18,880,30867
76,2020,2,8,6,830,28115
77,2020,2,25,5,830,19263
78,2020,2,19,22,830,19263
79,2020,2,9,10,830,28115
80,2020,2,10,10,830,28115
81,2020,2,23,5,1000,13481
82,2020,2,23,23,870,24101
83,2020,2,21,1,880,30867
84,2020,2,25,10,880,30867
85,2020,2,24,3,830,28115
86,2020,4,2,4,950,24304
87,2020,2,14,4,830,28115
88,2020,2,20,19,1000,13481
89,2020,2,25,6,950,19625
90,2020,2,10,0,880,30867
91,2020,2,19,16,870,24101
92,2020,2,4,8,950,19625
93,2020,2,20,3,880,30867
94,2020,2,21,4,950,19625
95,2020,2,19,22,830,28115
96,2020,2,10,0,850,19263
97,2020,2,20,21,820,33448
98,2020,2,18,9,830,19263
99,2020,2,17,21,850,19263
100,2020,4,2,3,830,19263
101,2020,3,25,11,870,23978
102,2020,2,12,16,880,30867
103,2020,2,24,15,880,30867
104,2020,4,3,14,870,23978
105,2020,4,3,15,830,19263
106,2020,2,7,18,950,19625
107,2020,2,27,12,830,19263
108,2020,2,25,8,830,28115
109,2020,2,25,2,920,24304
110,2020,2,7,19,880,30867
111,2020,2,25,1,870,24101
112,2020,2,17,18,880,30867
113,2020,4,2,5,920,26541
