No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,8,880,8753
1,2020,2,20,12,880,8753
2,2020,2,9,1,880,8753
3,2020,2,22,9,880,8753
4,2020,2,2,11,880,8753
5,2020,4,2,3,850,19754
6,2020,2,21,20,880,8753
7,2020,4,2,4,850,11381
8,2020,2,7,21,880,8753
9,2020,2,12,9,880,8753
10,2020,2,24,15,880,8753
11,2020,2,6,15,880,8753
12,2020,5,6,7,850,16000
13,2020,5,6,7,850,19754
14,2020,2,13,23,880,8753
15,2020,4,3,14,850,11381
16,2020,2,10,11,880,8753
17,2020,2,23,15,880,8753
18,2020,2,3,15,880,8753
19,2020,2,18,8,880,8753
20,2020,2,5,21,880,8753
21,2020,2,4,21,880,8753
22,2020,5,6,9,850,11381
23,2020,2,8,13,880,8753
24,2020,4,9,11,840,16000
25,2020,4,9,10,850,19754
26,2020,2,17,18,880,8753
27,2020,4,23,2,850,19754
28,2020,4,9,10,770,22514
29,2020,3,25,13,850,11381
30,2020,2,19,11,880,8753
