No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,11,1980,55252
1,2020,2,10,3,1760,84907
2,2020,2,13,13,1760,84907
3,2020,2,19,21,1980,55252
4,2020,2,7,13,2080,45948
5,2020,2,4,14,2080,45948
6,2020,2,13,9,2080,45948
7,2020,2,20,1,2080,45948
8,2020,2,21,11,1700,96572
9,2020,2,25,10,1980,55252
10,2020,2,23,1,1999,66200
11,2020,2,7,16,2000,55252
12,2020,2,24,15,1999,66200
13,2020,2,10,15,1999,66200
14,2020,2,6,16,2080,45948
15,2020,2,6,23,2000,55252
16,2020,2,12,12,1970,55252
17,2020,2,6,12,1750,116623
18,2020,2,24,19,1760,84907
19,2020,2,3,7,1999,66200
20,2020,2,21,9,1980,55252
21,2020,2,3,3,2080,45948
22,2020,2,22,8,1980,55252
23,2020,2,9,1,1999,66200
24,2020,2,5,7,1750,116623
25,2020,2,12,11,1750,116623
26,2020,2,22,1,2080,45948
27,2020,2,23,5,1760,84907
28,2020,2,14,3,1700,96572
29,2020,2,3,6,1760,84907
30,2020,2,6,7,1999,66200
31,2020,2,4,11,1760,84907
32,2020,2,13,19,1999,66200
33,2020,2,8,3,1760,84907
34,2020,2,8,4,1750,116623
35,2020,2,14,6,2080,45948
36,2020,2,23,18,2080,45948
37,2020,2,22,10,1760,84907
38,2020,2,20,6,1760,84907
39,2020,2,25,7,1760,84907
40,2020,2,23,2,1980,55252
41,2020,2,2,22,1999,66200
42,2020,2,4,1,1750,116623
43,2020,2,14,0,1760,84907
44,2020,2,8,12,2000,55252
45,2020,2,9,18,1760,84907
46,2020,2,14,1,1970,55252
47,2020,2,20,5,1999,66200
48,2020,2,5,3,1999,66200
49,2020,2,8,6,2080,45948
50,2020,2,4,10,1999,66200
51,2020,2,13,20,1750,116623
52,2020,2,19,12,1750,116623
53,2020,2,9,21,2080,45948
54,2020,2,20,3,1980,55252
55,2020,2,12,22,2080,45948
56,2020,2,18,3,2080,45948
57,2020,2,9,1,1750,116623
58,2020,2,22,9,1750,116623
59,2020,2,20,7,1750,116623
60,2020,2,7,13,1700,96572
61,2020,4,2,3,1670,96572
62,2020,2,24,10,1700,96572
63,2020,2,21,14,1760,84907
64,2020,2,4,6,1700,96572
65,2020,2,13,1,1970,55252
66,2020,2,5,10,2080,45948
67,2020,2,3,17,2050,55252
68,2020,2,7,9,1750,116623
69,2020,2,22,18,1999,66200
70,2020,2,4,6,2050,55252
71,2020,2,21,1,2080,45948
72,2020,2,23,5,1750,116623
73,2020,4,3,13,1670,96572
74,2020,2,3,7,1700,96572
75,2020,2,5,23,1760,84907
76,2020,2,12,11,1760,84907
77,2020,2,2,18,2050,55252
78,2020,2,7,17,1999,66200
79,2020,2,9,8,1700,96572
80,2020,2,8,15,1700,96572
81,2020,2,3,20,1750,116623
82,2020,2,25,10,1999,66200
83,2020,2,22,4,1700,96572
84,2020,2,23,13,1700,96572
85,2020,2,18,9,1980,55252
86,2020,2,2,23,2080,45948
87,2020,2,19,23,2080,45948
88,2020,2,10,1,1700,96572
89,2020,2,7,2,1760,84907
90,2020,2,17,19,1999,66200
91,2020,2,24,7,1750,116623
92,2020,2,12,19,1700,96572
93,2020,2,9,2,2000,55252
94,2020,2,8,9,1999,66200
95,2020,2,9,15,1970,55252
96,2020,2,12,17,1999,66200
97,2020,2,14,6,1750,116623
98,2020,2,6,3,1760,84907
99,2020,2,10,19,1750,116623
100,2020,2,24,21,2080,45948
101,2020,4,9,10,1999,47264
102,2020,2,10,8,1970,55252
103,2020,2,6,14,1700,96572
104,2020,2,17,13,1750,116623
105,2020,2,5,20,1700,96572
106,2020,2,13,22,1700,96572
107,2020,2,21,12,1750,116623
108,2020,2,2,12,1700,96572
109,2020,4,9,11,1670,96572
110,2020,2,2,14,1750,116623
111,2020,2,5,19,2050,55252
112,2020,2,14,6,1999,66200
113,2020,2,18,8,1999,66200
114,2020,2,2,12,1760,84907
115,2020,2,25,9,2080,45948
116,2020,4,2,3,1800,79482
117,2020,5,6,8,1430,92500
118,2020,2,19,11,1700,96572
119,2020,2,18,3,1700,96572
120,2020,2,19,12,1999,66200
121,2020,2,20,13,1700,96572
122,2020,2,17,13,2080,45948
123,2020,2,17,15,1980,55252
124,2020,2,12,6,2400,45948
125,2020,2,21,5,1999,66200
126,2020,2,25,1,1750,116623
127,2020,2,10,11,2080,45948
128,2020,2,19,18,1760,84907
129,2020,4,2,3,1620,92500
130,2020,2,25,4,1700,96572
131,2020,2,17,19,1700,96572
132,2020,2,18,5,1760,84907
