No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,8,690,162747
1,2020,2,10,6,930,150715
2,2020,2,13,15,930,150715
3,2020,2,3,3,830,158647
4,2020,2,7,9,750,193204
5,2020,2,21,5,1150,95075
6,2020,2,24,10,1650,96955
7,2020,2,14,4,1030,158647
8,2020,2,8,13,620,229181
9,2020,2,9,21,1030,158647
10,2020,2,5,4,1030,158647
11,2020,2,12,18,930,150715
12,2020,2,25,10,1030,158647
13,2020,2,24,11,750,193204
14,2020,2,23,6,750,193204
15,2020,2,6,4,620,229181
16,2020,2,24,11,599,229181
17,2020,2,13,21,690,162747
18,2020,2,12,14,620,229181
19,2020,2,4,19,630,229181
20,2020,5,6,7,1650,96955
21,2020,2,18,7,750,193204
22,2020,2,4,22,1650,96955
23,2020,2,3,12,630,229181
24,2020,4,2,3,900,150715
25,2020,2,13,20,620,229181
26,2020,2,5,17,620,229181
27,2020,3,25,11,930,150715
28,2020,2,13,22,750,193204
29,2020,2,13,10,1030,158647
30,2020,2,12,19,690,162747
31,2020,2,24,15,930,150715
32,2020,2,22,7,930,150715
33,2020,2,20,22,750,193204
34,2020,2,22,14,1030,158647
35,2020,2,20,14,599,229181
36,2020,2,3,13,690,162747
37,2020,2,5,19,1650,96955
38,2020,2,3,11,1650,102568
39,2020,2,19,12,1650,96955
40,2020,2,18,4,1650,96955
41,2020,2,19,15,1650,102568
42,2020,2,10,10,1199,95075
43,2020,2,22,8,1650,102568
44,2020,2,14,2,930,150715
45,2020,2,22,8,1650,96955
46,2020,2,7,10,930,150715
47,2020,2,17,12,1030,158647
48,2020,2,5,4,750,193204
49,2020,2,14,5,1650,96955
50,2020,2,22,19,599,229181
51,2020,2,12,15,1030,158647
52,2020,2,5,0,1650,102568
53,2020,2,21,15,1030,158647
54,2020,2,23,12,1650,96955
55,2020,2,4,1,1650,102568
56,2020,2,19,11,599,229181
57,2020,2,18,5,1199,95075
58,2020,2,3,7,930,150715
59,2020,2,6,13,1650,96955
60,2020,2,7,9,1030,158647
61,2020,2,23,19,1030,158647
62,2020,2,17,20,599,229181
63,2020,2,23,11,690,162747
64,2020,2,14,5,1650,102568
65,2020,2,12,18,1650,102568
66,2020,2,12,3,750,193204
67,2020,2,25,2,750,193204
68,2020,2,6,3,1030,158647
69,2020,2,8,23,1650,102568
