No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,13,560,57535
1,2020,2,14,9,560,57535
2,2020,2,22,15,560,57535
3,2020,2,7,4,560,57535
4,2020,2,4,20,560,57535
5,2020,2,13,9,560,57535
6,2020,2,20,19,560,57535
7,2020,2,10,4,560,57535
8,2020,2,6,18,560,57535
9,2020,2,8,7,560,57535
10,2020,2,5,1,560,57535
11,2020,2,3,3,560,59535
12,2020,2,19,15,560,57535
13,2020,2,18,5,560,57535
14,2020,2,2,11,560,59535
15,2020,2,25,7,560,57535
16,2020,2,9,4,560,57535
17,2020,2,24,11,560,57535
18,2020,2,21,9,560,57535
19,2020,2,17,21,560,57535
20,2020,2,23,2,560,57535
