No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,21,690,31623
1,2020,2,3,14,580,70647
2,2020,2,22,22,690,31623
3,2020,2,2,8,690,31623
4,2020,2,22,20,580,70647
5,2020,2,22,8,670,49667
6,2020,2,9,0,690,31623
7,2020,4,2,4,580,70647
8,2020,2,13,3,580,70647
9,2020,2,21,1,690,31623
10,2020,2,24,10,580,70647
11,2020,2,19,20,690,31623
12,2020,2,10,18,580,70647
13,2020,2,4,15,690,31623
14,2020,2,8,13,580,70647
15,2020,2,19,14,670,49667
16,2020,2,5,1,690,31623
17,2020,2,13,16,690,31623
18,2020,2,3,22,690,31623
19,2020,2,7,9,690,31623
20,2020,2,24,3,670,49667
21,2020,2,4,0,580,70647
22,2020,2,23,0,670,49667
23,2020,2,19,19,580,70647
24,2020,2,21,10,670,49667
25,2020,2,23,23,580,70647
26,2020,2,23,21,690,31623
27,2020,2,20,21,670,49667
28,2020,2,9,19,580,70647
29,2020,2,6,12,690,31623
30,2020,2,10,14,690,31623
31,2020,2,2,15,580,70647
32,2020,2,17,18,580,70647
33,2020,2,18,5,670,63276
34,2020,2,25,1,670,49667
35,2020,5,6,8,580,70647
36,2020,2,20,13,580,70647
37,2020,2,25,0,690,31623
38,2020,2,12,12,580,70647
39,2020,2,14,5,690,31623
40,2020,2,12,14,690,31623
41,2020,2,6,7,580,70647
42,2020,2,17,20,690,31623
43,2020,2,25,9,580,70647
44,2020,2,21,16,580,70647
45,2020,2,7,2,580,70647
46,2020,2,5,5,580,70647
47,2020,2,24,14,690,31623
48,2020,4,9,11,580,70647
49,2020,4,3,12,670,49667
50,2020,2,20,18,690,31623
51,2020,2,18,5,580,70647
52,2020,3,25,11,580,70647
