No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,1,270,107407
1,2020,2,19,15,270,107407
2,2020,2,10,1,270,107407
3,2020,2,13,12,270,107407
4,2020,2,18,6,270,107407
5,2020,2,8,13,270,107407
6,2020,2,7,13,270,107407
7,2020,2,22,23,270,107407
8,2020,2,12,5,270,107407
9,2020,2,24,7,270,107407
10,2020,2,2,10,270,107407
11,2020,2,14,6,270,107407
12,2020,2,3,21,270,107407
13,2020,2,5,16,270,107407
14,2020,2,6,2,270,107407
15,2020,2,4,14,270,107407
16,2020,2,9,0,270,107407
17,2020,2,20,13,270,107407
18,2020,3,25,12,270,107407
19,2020,2,17,18,270,107407
20,2020,2,23,1,270,107407
21,2020,4,9,10,270,107407
