No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,14,460,18680
1,2020,2,19,10,460,18680
2,2020,2,14,9,460,18680
3,2020,2,6,4,460,18680
4,2020,2,13,19,460,18680
5,2020,2,25,4,460,18680
6,2020,2,4,15,460,18680
7,2020,2,3,11,460,18680
8,2020,2,24,0,460,18680
9,2020,2,21,5,460,18680
10,2020,2,7,5,460,18680
11,2020,2,12,10,460,18680
12,2020,2,9,20,460,18680
13,2020,2,10,6,460,18680
14,2020,2,18,9,460,18680
15,2020,2,20,23,460,18680
16,2020,2,2,22,460,18680
17,2020,2,8,19,460,18680
18,2020,4,3,13,460,18680
19,2020,2,22,4,460,18680
20,2020,4,9,11,460,18680
21,2020,2,23,4,460,18680
