No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,9,250,144430
1,2020,2,13,2,250,144430
2,2020,2,9,19,250,144430
3,2020,2,5,12,250,144430
4,2020,2,21,17,250,144430
5,2020,2,20,2,250,144430
6,2020,2,8,15,250,144430
7,2020,2,10,9,250,144430
8,2020,2,18,7,250,144430
9,2020,2,19,22,250,144430
10,2020,2,12,16,250,144430
11,2020,2,23,1,250,144430
12,2020,2,22,0,250,144430
13,2020,2,6,11,250,144430
14,2020,2,14,9,250,144430
15,2020,2,17,15,250,144430
16,2020,2,24,13,250,144430
17,2020,2,25,10,350,50461
