No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,9,360,83734
1,2020,2,4,4,320,116797
2,2020,2,5,13,360,83734
3,2020,2,2,14,360,68869
4,2020,2,14,3,360,68869
5,2020,2,6,8,360,68869
6,2020,4,2,4,360,83734
7,2020,2,9,0,360,83734
8,2020,2,21,19,360,68869
9,2020,2,13,10,280,81605
10,2020,2,19,20,280,81605
11,2020,2,21,17,320,116797
12,2020,2,4,7,360,68869
13,2020,2,6,11,320,116797
14,2020,2,24,11,360,68869
15,2020,2,12,5,360,83734
16,2020,2,3,3,320,116797
17,2020,2,7,16,320,116797
18,2020,2,9,15,320,116797
19,2020,2,3,22,360,68869
20,2020,2,20,2,360,83734
21,2020,2,2,12,320,116797
22,2020,2,4,17,360,83734
23,2020,2,13,6,320,116797
24,2020,2,17,19,280,81605
25,2020,2,12,22,360,68869
26,2020,2,12,17,280,81605
27,2020,2,18,3,360,68869
28,2020,2,22,15,320,116797
29,2020,4,9,10,230,97716
30,2020,2,24,0,360,83734
31,2020,2,12,21,320,116797
32,2020,2,14,5,280,81605
33,2020,2,5,21,360,68869
34,2020,2,21,22,280,81605
35,2020,2,21,16,360,83734
36,2020,2,17,12,320,116797
37,2020,2,10,0,320,116797
38,2020,2,6,19,360,83734
39,2020,2,18,5,360,83734
40,2020,2,13,18,360,83734
41,2020,2,7,9,360,68869
42,2020,2,18,4,280,81605
43,2020,2,24,15,320,116797
44,2020,2,20,3,360,68869
45,2020,2,8,8,360,83734
46,2020,2,8,10,320,116797
47,2020,4,3,14,300,115823
48,2020,2,20,21,320,116797
49,2020,4,9,12,300,115823
50,2020,2,23,10,320,116797
51,2020,2,10,9,280,81605
52,2020,2,18,7,320,116797
53,2020,2,22,13,360,68869
54,2020,2,13,15,360,68869
55,2020,2,20,9,280,81605
56,2020,4,3,16,360,83734
57,2020,2,10,18,360,68869
58,2020,2,5,15,320,116797
59,2020,4,23,2,370,83000
60,2020,5,6,8,289,103028
61,2020,2,23,15,280,81605
62,2020,2,17,12,360,68869
63,2020,2,25,0,280,81605
64,2020,2,2,9,360,83734
65,2020,2,8,12,360,68869
66,2020,4,2,3,300,115823
67,2020,2,23,10,360,83734
68,2020,2,23,11,360,68869
69,2020,2,7,3,360,83734
70,2020,2,25,9,360,83734
71,2020,2,3,15,360,83734
72,2020,2,19,15,320,116797
73,2020,2,22,21,280,81605
74,2020,2,24,4,280,81605
75,2020,2,22,23,360,83734
76,2020,3,25,12,360,83734
77,2020,2,25,7,360,68869
78,2020,2,25,2,320,116797
79,2020,4,2,4,360,74940
80,2020,4,9,10,289,103028
81,2020,2,14,3,320,116797
82,2020,3,25,11,360,74940
83,2020,2,19,13,360,68869
84,2020,4,3,13,390,25780
85,2020,2,10,11,360,83734
86,2020,2,17,14,360,83734
87,2020,2,9,1,360,68869
