No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,1,420,158978
1,2020,2,9,5,420,158978
2,2020,2,13,1,420,158978
3,2020,2,10,14,420,158978
4,2020,2,22,2,420,158978
5,2020,2,24,21,350,225390
6,2020,2,8,15,420,158978
7,2020,2,12,15,420,158978
8,2020,2,6,7,420,158978
9,2020,2,25,2,350,225390
10,2020,2,7,12,420,158978
11,2020,2,3,16,420,158978
12,2020,2,2,22,420,158978
13,2020,2,20,2,420,158978
14,2020,2,5,21,420,158978
15,2020,2,19,10,420,158978
16,2020,4,23,2,420,158978
17,2020,5,6,8,550,138450
18,2020,2,25,1,420,158978
19,2020,2,21,4,420,158978
20,2020,2,14,4,420,158978
21,2020,2,23,17,420,158978
22,2020,5,6,7,520,101000
23,2020,4,2,4,420,158978
24,2020,2,4,10,420,158978
