No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,7,33500,4750
1,2020,2,8,18,33500,4750
2,2020,2,21,17,33500,4750
3,2020,2,5,0,33500,4750
4,2020,2,4,6,33500,4750
5,2020,2,23,14,33500,4750
6,2020,2,10,6,33500,4750
7,2020,2,14,9,33500,4750
8,2020,2,22,3,33500,4750
9,2020,2,19,22,33500,4750
10,2020,2,9,16,33500,4750
11,2020,2,7,23,33500,4750
12,2020,2,24,11,33500,4750
13,2020,2,13,6,33500,4750
14,2020,2,2,10,33500,4750
15,2020,2,12,5,33500,4750
16,2020,2,25,7,33500,4750
17,2020,2,3,4,33500,4750
18,2020,2,20,9,33500,4750
19,2020,4,2,4,33500,4750
20,2020,2,6,8,33500,4750
21,2020,4,3,13,33500,4750
