No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,1,3449,69804
1,2020,2,9,4,3390,62000
2,2020,2,23,7,3300,62000
3,2020,4,2,3,3449,69804
4,2020,2,21,14,3300,62000
5,2020,2,21,1,3449,69804
6,2020,2,7,1,3390,62000
7,2020,2,6,4,3390,62000
8,2020,2,8,6,3390,62000
9,2020,2,14,2,3300,62000
10,2020,2,9,13,3300,62000
11,2020,2,4,12,3390,62000
12,2020,4,9,12,3890,26372
13,2020,3,25,12,3449,69804
14,2020,2,23,22,3449,69804
15,2020,2,13,12,3300,62000
16,2020,2,5,0,3390,62000
17,2020,2,20,19,3300,62000
18,2020,2,20,11,3449,69804
19,2020,2,24,15,3449,69804
20,2020,2,25,4,3300,62000
21,2020,2,12,6,3300,62000
22,2020,2,17,18,3300,62000
23,2020,2,3,23,3390,62000
24,2020,2,2,22,3390,62000
25,2020,4,3,13,3399,69804
26,2020,2,24,16,3300,62000
27,2020,2,18,5,3300,62000
28,2020,2,22,13,3300,62000
29,2020,2,10,13,3300,62000
30,2020,2,25,6,3449,69804
31,2020,2,19,23,3300,62000
