No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,15,2920,58021
1,2020,2,14,4,2920,58021
2,2020,2,21,22,2920,58021
3,2020,2,24,18,2920,58021
4,2020,2,5,1,2860,58021
5,2020,2,20,11,2920,58021
6,2020,2,10,3,2860,58021
7,2020,2,22,3,2920,58021
8,2020,2,9,5,2860,58021
9,2020,4,2,3,2850,48267
10,2020,2,13,5,2920,58021
11,2020,2,19,17,2920,58021
12,2020,2,8,17,2860,58021
13,2020,2,6,23,2860,58021
14,2020,2,7,17,2860,58021
15,2020,2,4,8,2860,58021
16,2020,3,25,12,2780,58021
17,2020,2,18,7,2920,58021
18,2020,2,23,12,2920,58021
19,2020,3,25,12,3090,57514
20,2020,2,25,10,2920,58021
21,2020,4,2,5,2780,58021
22,2020,4,3,14,2990,57514
23,2020,4,2,6,2990,57514
24,2020,5,6,23,2680,58021
25,2020,5,6,8,2750,48267
26,2020,2,17,18,2920,58021
