No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,1,699,234072
1,2020,2,23,2,699,234072
2,2020,2,8,1,699,234072
3,2020,2,9,21,699,234072
4,2020,2,13,16,699,234072
5,2020,2,24,23,699,234072
6,2020,4,3,13,699,234072
7,2020,2,12,19,699,234072
8,2020,2,3,16,699,234072
9,2020,2,10,5,699,234072
10,2020,2,4,12,699,234072
11,2020,2,21,17,699,234072
12,2020,2,18,10,699,234072
13,2020,2,7,21,699,234072
14,2020,2,20,23,699,234072
15,2020,2,19,14,699,234072
16,2020,2,2,23,699,234072
17,2020,2,6,21,699,234072
18,2020,2,22,5,699,234072
19,2020,2,5,16,699,234072
20,2020,4,2,5,699,234072
