No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,16,1650,185069
1,2020,2,8,12,1550,185069
2,2020,2,6,19,1550,185069
3,2020,2,22,12,1480,185069
4,2020,2,9,21,1550,185069
5,2020,2,7,18,1550,185069
6,2020,2,2,7,1650,185069
7,2020,2,24,13,1480,185069
8,2020,2,23,21,1480,185069
9,2020,2,13,6,1550,185069
10,2020,2,3,0,1650,185069
11,2020,2,14,7,1550,185069
12,2020,2,10,4,1550,185069
13,2020,2,20,16,1480,185069
14,2020,4,9,10,1480,185069
15,2020,2,21,20,1480,185069
16,2020,2,17,20,1550,185069
17,2020,2,12,17,1550,185069
18,2020,2,5,16,1550,185069
19,2020,2,5,7,1650,185069
20,2020,4,23,3,1480,185069
21,2020,2,25,0,1480,185069
22,2020,2,19,13,1480,185069
23,2020,4,2,4,1480,185069
24,2020,2,18,8,1550,185069
25,2020,4,3,13,1480,185069
