No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,14,1910,122491
1,2020,2,3,3,1910,122491
2,2020,2,2,17,1910,122491
3,2020,2,23,3,1910,122491
4,2020,2,6,0,1910,122491
5,2020,2,20,5,1910,122491
6,2020,2,7,8,1910,122491
7,2020,2,9,8,1910,122491
8,2020,2,12,6,1910,122491
9,2020,2,14,1,1910,122491
10,2020,2,13,20,1910,122491
11,2020,2,24,3,1910,122491
12,2020,2,4,5,1910,122491
13,2020,2,5,2,1910,122491
14,2020,2,10,11,1910,122491
15,2020,2,22,2,1910,122491
16,2020,2,18,4,1910,122491
17,2020,2,8,7,1910,122491
18,2020,2,25,3,1910,122491
