No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,1,11300,44430
1,2020,2,14,7,11300,44430
2,2020,2,12,9,12000,18510
3,2020,2,8,10,11300,44430
4,2020,2,7,21,11300,44430
5,2020,2,24,2,12000,18510
6,2020,2,4,23,11300,44430
7,2020,2,13,9,12000,18510
8,2020,2,17,18,12000,13700
9,2020,2,20,20,12000,18510
10,2020,4,23,2,12000,13700
11,2020,2,13,20,11300,44430
12,2020,2,23,18,11300,44430
13,2020,2,21,6,12000,13700
14,2020,2,10,16,11300,44430
15,2020,2,25,7,11300,44430
16,2020,2,9,16,11300,44430
17,2020,2,18,4,11300,44430
18,2020,4,3,13,11300,44430
19,2020,2,14,1,12000,18510
20,2020,2,22,17,12000,18510
21,2020,3,25,11,11300,44430
22,2020,2,4,2,12000,18510
23,2020,2,19,15,12000,18510
24,2020,2,10,0,12000,18510
25,2020,2,5,14,12000,18510
26,2020,2,24,17,12000,13700
27,2020,2,17,20,12000,18510
28,2020,2,3,4,12000,18510
29,2020,2,2,23,12000,18510
30,2020,2,12,23,11300,44430
31,2020,2,25,3,12000,13700
32,2020,2,3,1,11300,44430
33,2020,2,21,17,11300,44430
34,2020,2,24,13,11300,44430
35,2020,2,6,2,12000,18510
36,2020,2,5,21,11300,44430
37,2020,2,25,4,12000,18510
38,2020,2,18,6,12000,18510
39,2020,2,9,13,12000,18510
40,2020,2,22,13,11300,44430
41,2020,4,9,11,12000,13700
42,2020,5,6,8,12000,18510
43,2020,2,20,14,11300,44430
44,2020,2,22,14,12000,13700
45,2020,2,23,14,12000,13700
46,2020,2,7,13,12000,18510
47,2020,4,2,5,11300,44430
48,2020,2,8,17,12000,18510
49,2020,2,20,5,12000,13700
50,2020,2,18,4,12000,13700
51,2020,2,21,4,12000,18510
52,2020,2,2,12,11300,44430
53,2020,4,3,12,12000,18510
54,2020,3,25,12,12000,13700
55,2020,2,23,19,12000,18510
56,2020,2,19,23,11300,44430
57,2020,5,7,0,12000,13700
