No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,2,6900,123463
1,2020,2,3,5,5990,179000
2,2020,2,12,16,5950,178455
3,2020,2,20,2,5950,178455
4,2020,2,6,21,5990,178455
5,2020,2,23,4,5950,178455
6,2020,2,13,14,6900,123463
7,2020,2,7,23,8180,65000
8,2020,2,21,19,7490,93787
9,2020,2,3,10,8180,65000
10,2020,2,21,17,5950,178455
11,2020,3,25,11,7200,86068
12,2020,2,13,2,5950,178455
13,2020,2,14,6,5950,178455
14,2020,2,2,9,5990,179000
15,2020,2,14,5,7490,93787
16,2020,2,10,8,5990,178455
17,2020,2,7,17,6900,123463
18,2020,2,3,23,6900,123463
19,2020,2,12,21,6900,123463
20,2020,2,12,20,8180,65000
21,2020,2,13,22,7490,93787
22,2020,2,9,18,5990,178455
23,2020,2,20,18,8180,65000
24,2020,2,14,6,6900,123463
25,2020,2,13,18,8180,65000
26,2020,2,8,23,5990,178455
27,2020,2,5,15,5990,178455
28,2020,2,7,15,5990,178455
29,2020,2,22,0,6900,123463
30,2020,2,19,10,8180,65000
31,2020,2,4,17,8180,65000
32,2020,2,5,5,6900,123463
33,2020,2,19,20,5950,178455
34,2020,2,6,16,6900,123463
35,2020,2,8,18,8180,65000
36,2020,2,19,15,6900,123463
37,2020,2,21,4,8180,65000
38,2020,2,24,23,5950,178455
39,2020,2,18,9,7490,93787
40,2020,2,21,17,6900,123463
41,2020,3,25,11,7490,93787
42,2020,2,2,19,6900,123463
43,2020,4,2,6,8180,65000
44,2020,2,4,13,6900,123463
45,2020,4,9,10,6900,123463
46,2020,2,8,11,6900,123463
47,2020,2,6,3,8180,65000
48,2020,2,5,21,8180,65000
49,2020,2,23,13,8180,65000
50,2020,2,9,6,8180,65000
51,2020,2,25,9,5950,178455
52,2020,2,10,7,6900,123463
53,2020,2,18,10,5950,178455
54,2020,2,4,6,5990,179000
55,2020,2,19,12,7490,93787
56,2020,2,9,18,6900,123463
57,2020,2,22,1,5950,178455
58,2020,2,23,22,7490,93787
59,2020,2,20,12,6900,123463
60,2020,2,25,7,8180,65000
61,2020,4,2,4,6900,123463
62,2020,2,10,7,8180,65000
63,2020,2,24,3,6900,123463
64,2020,2,17,13,7490,93787
65,2020,2,25,4,6900,123463
66,2020,4,2,4,7200,86068
67,2020,2,22,10,7490,93787
68,2020,2,20,3,7490,93787
69,2020,2,17,12,5950,178455
70,2020,2,24,2,8180,65000
71,2020,3,25,12,8180,65000
72,2020,2,17,18,8180,65000
73,2020,4,2,4,7000,93787
74,2020,4,2,5,5790,178455
75,2020,4,3,14,6900,123463
76,2020,2,14,0,8180,65000
77,2020,2,24,23,7490,93787
78,2020,2,17,18,6900,123463
79,2020,2,18,9,6900,123463
80,2020,2,22,8,8180,65000
81,2020,4,3,14,8180,65000
82,2020,5,6,23,7200,86068
83,2020,2,2,14,8180,65000
84,2020,2,18,3,8180,65000
85,2020,2,25,4,7490,93787
