No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,1,11000,37000
1,2020,2,4,8,11000,37000
2,2020,2,3,16,11000,37000
3,2020,2,13,2,11000,37000
4,2020,2,8,12,11000,37000
5,2020,2,2,14,11000,37000
6,2020,2,20,5,11000,37000
7,2020,2,12,16,11000,37000
8,2020,2,21,18,11000,37000
9,2020,2,23,10,11000,37000
10,2020,4,3,14,11000,37000
11,2020,2,6,7,11000,37000
12,2020,2,22,8,11000,37000
13,2020,2,9,0,11000,37000
14,2020,2,10,4,11000,37000
15,2020,2,25,6,11000,37000
16,2020,2,19,22,11000,37000
17,2020,2,7,22,11000,37000
18,2020,2,24,21,11000,37000
19,2020,2,17,13,11000,37000
20,2020,2,14,8,11000,37000
21,2020,4,2,3,11000,37000
