No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,23,12000,13848
1,2020,2,13,19,12000,13848
2,2020,2,14,6,12000,13848
3,2020,2,25,9,12000,13848
4,2020,2,8,1,12000,13848
5,2020,2,6,19,12000,13848
6,2020,2,9,6,12000,13848
7,2020,2,24,15,12000,13848
8,2020,2,7,6,12000,13848
9,2020,2,21,5,12000,13848
10,2020,2,5,22,12000,13848
11,2020,3,25,12,12000,13848
12,2020,4,3,14,11000,25000
13,2020,2,12,8,12000,13848
14,2020,2,19,14,12000,13848
15,2020,4,3,15,12000,13848
16,2020,2,20,10,12000,13848
17,2020,2,10,5,12000,13848
18,2020,2,22,13,12000,13848
19,2020,2,4,11,12000,13848
20,2020,4,9,12,12000,13848
21,2020,2,17,19,12000,13848
22,2020,4,2,5,12000,13848
23,2020,2,18,7,12000,13848
24,2020,2,2,10,12000,13848
25,2020,5,6,7,10550,13848
26,2020,2,23,22,12000,13848
