No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,16,3590,32923
1,2020,2,4,10,3590,32923
2,2020,2,8,16,3590,32923
3,2020,2,5,20,3590,32923
4,2020,2,13,14,3590,32923
5,2020,2,19,19,3590,32923
6,2020,2,9,3,3590,32923
7,2020,2,3,11,3590,32923
8,2020,2,6,20,3590,32923
9,2020,2,20,13,3590,32923
10,2020,2,25,2,3590,32923
11,2020,2,22,2,3590,32923
12,2020,2,12,10,3590,32923
13,2020,2,7,23,3590,32923
14,2020,2,10,15,3590,32923
15,2020,2,2,11,3590,32923
16,2020,2,21,11,3590,32923
17,2020,2,23,0,3590,32923
18,2020,2,14,7,3590,32923
19,2020,2,18,6,3590,32923
20,2020,2,17,18,3590,32923
21,2020,4,3,13,3400,78100
22,2020,4,2,6,3400,78100
23,2020,3,25,12,3400,78100
24,2020,4,9,11,3400,78100
