No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,20,1540,48842
1,2020,2,4,12,1370,47643
2,2020,2,23,18,1540,48842
3,2020,2,22,21,1370,47643
4,2020,2,24,23,1540,48842
5,2020,2,6,5,1370,47643
6,2020,2,21,18,1370,47643
7,2020,3,25,11,1540,48842
8,2020,2,17,20,1540,48842
9,2020,2,9,2,1370,47643
10,2020,2,14,9,1370,47643
11,2020,2,14,7,1540,48842
12,2020,2,19,20,1370,47643
13,2020,2,13,6,1370,47643
14,2020,4,9,10,1540,48842
15,2020,2,18,7,1540,48842
16,2020,2,5,3,1370,47643
17,2020,2,2,14,1370,47643
18,2020,2,7,3,1370,47643
19,2020,2,12,14,1540,48842
20,2020,2,13,19,1540,48842
21,2020,2,3,12,1370,47643
22,2020,2,10,4,1370,47643
23,2020,2,12,16,1370,47643
24,2020,2,23,13,1370,47643
25,2020,2,24,5,1370,47643
26,2020,4,2,4,1540,48842
27,2020,4,9,11,800,168920
28,2020,2,8,4,1370,47643
29,2020,2,20,2,1540,48842
30,2020,2,22,9,1540,48842
31,2020,2,25,2,1540,48842
32,2020,2,20,23,1370,47643
33,2020,2,18,8,1370,47643
34,2020,2,19,20,1540,48842
35,2020,5,6,9,1540,48842
