No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,21,2780,105900
1,2020,2,23,11,2780,105900
2,2020,2,3,12,2840,105900
3,2020,2,24,17,2780,105900
4,2020,2,8,6,2780,105900
5,2020,2,14,7,2780,105900
6,2020,2,24,11,3250,32474
7,2020,2,2,11,2880,105900
8,2020,2,9,18,2780,105900
9,2020,2,6,23,3250,32474
10,2020,2,5,10,2780,105900
11,2020,2,14,7,3250,32474
12,2020,2,22,13,2780,105900
13,2020,2,7,0,2780,105900
14,2020,2,4,13,3250,32474
15,2020,2,12,7,2780,105900
16,2020,2,4,19,2780,105900
17,2020,2,9,1,3250,32474
18,2020,2,5,19,3250,32474
19,2020,2,6,16,2780,105900
20,2020,2,21,6,2780,105900
21,2020,2,12,12,3250,32474
22,2020,2,18,9,3250,32474
23,2020,2,19,14,2780,105900
24,2020,2,18,6,2780,105900
25,2020,2,7,15,3250,32474
26,2020,2,17,13,2780,105900
27,2020,2,23,17,3250,32474
28,2020,2,4,0,2840,105900
29,2020,2,20,2,2780,105900
30,2020,2,25,3,2780,105900
31,2020,2,10,2,2780,105900
32,2020,2,8,1,3250,32474
33,2020,2,22,5,3250,32474
34,2020,2,17,12,3250,32474
35,2020,2,13,3,3250,32474
36,2020,2,10,4,3250,32474
37,2020,2,20,3,3250,32474
38,2020,2,3,14,3250,32474
39,2020,2,21,7,3250,32474
40,2020,2,2,21,3250,32474
41,2020,2,25,7,3250,32474
42,2020,2,19,17,3250,32474
43,2020,2,3,1,2880,105900
