No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,3,2290,89449
1,2020,2,3,10,2290,89449
2,2020,2,25,4,99,89449
3,2020,2,6,19,2290,89449
4,2020,2,5,0,2290,89449
5,2020,2,2,20,2290,89449
6,2020,2,7,14,2290,89449
7,2020,2,22,5,2290,89449
8,2020,2,21,6,2290,89449
9,2020,2,12,21,2290,89449
10,2020,2,24,18,99,89449
11,2020,2,23,13,99,89449
12,2020,2,13,21,2290,89449
13,2020,2,9,0,2290,89449
14,2020,2,20,20,2290,89449
15,2020,2,17,12,2290,89449
16,2020,2,4,6,2290,89449
17,2020,2,18,6,2290,89449
18,2020,2,23,1,2290,89449
19,2020,2,14,6,2290,89449
20,2020,2,8,12,2290,89449
21,2020,2,19,18,2290,89449
