No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,22,4500,94837
1,2020,2,5,4,4500,94837
2,2020,2,12,4,4500,94837
3,2020,2,21,23,4500,94837
4,2020,2,4,0,4500,94837
5,2020,4,2,4,4500,94837
6,2020,2,3,9,4500,94837
7,2020,2,7,7,4500,94837
8,2020,2,24,5,4500,94837
9,2020,2,8,7,4500,94837
10,2020,2,20,1,4500,94837
11,2020,2,13,23,4500,94837
12,2020,2,18,10,4500,94837
13,2020,2,22,10,4500,94837
14,2020,2,19,10,4500,94837
15,2020,2,2,9,4500,94837
16,2020,2,6,14,4500,94837
17,2020,2,10,12,4500,94837
18,2020,2,17,19,4500,94837
19,2020,2,23,4,4500,94837
20,2020,2,25,2,4500,94837
21,2020,4,3,14,4500,94837
22,2020,2,14,3,4500,94837
