No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,19,6680,39979
1,2020,2,18,4,6680,39979
2,2020,2,24,10,6680,39979
3,2020,2,3,17,6680,39979
4,2020,2,2,20,6680,39979
5,2020,4,9,12,6680,39979
6,2020,2,12,20,6680,39979
7,2020,2,23,13,6680,39979
8,2020,2,6,14,6680,39979
9,2020,2,22,0,6680,39979
10,2020,2,13,6,6680,39979
11,2020,2,9,6,6680,39979
12,2020,2,5,0,6680,39979
13,2020,2,7,2,6680,39979
14,2020,2,21,17,6680,39979
15,2020,2,8,22,6680,39979
16,2020,2,10,16,6680,39979
17,2020,2,14,8,6680,39979
18,2020,2,20,5,6680,39979
19,2020,2,17,19,6680,39979
20,2020,4,3,12,6680,39979
21,2020,3,25,10,6680,39979
22,2020,2,19,22,6680,39979
23,2020,4,23,2,6680,39979
