No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,19,5680,37042
1,2020,2,20,13,5990,22166
2,2020,2,3,9,5990,22166
3,2020,5,6,8,5300,37042
4,2020,2,9,10,5990,22166
5,2020,2,12,13,5680,37042
6,2020,2,7,6,5680,37042
7,2020,2,24,5,5680,37042
8,2020,2,13,7,5680,37042
9,2020,2,5,22,5990,22166
10,2020,2,22,23,5990,22166
11,2020,2,14,4,5990,22166
12,2020,4,9,11,5490,37042
13,2020,2,13,6,5990,22166
14,2020,2,19,11,5680,37042
15,2020,2,21,21,5680,37042
16,2020,2,8,14,5680,37042
17,2020,2,6,17,5680,37042
18,2020,2,5,4,5680,37042
19,2020,2,19,14,5990,22166
20,2020,2,14,7,5680,37042
21,2020,2,10,3,5990,22166
22,2020,2,3,8,5680,37042
23,2020,2,7,9,5990,22166
24,2020,2,4,20,5990,22166
25,2020,2,24,17,5990,22166
26,2020,2,9,6,5680,37042
27,2020,2,17,14,5680,37042
28,2020,2,18,6,5990,22166
29,2020,2,21,9,5990,22166
30,2020,2,12,23,5990,22166
31,2020,2,22,16,5680,37042
32,2020,2,18,4,5680,37042
33,2020,2,4,15,5680,37042
34,2020,2,20,15,5680,37042
35,2020,2,10,12,5680,37042
36,2020,4,3,13,5490,37042
37,2020,2,6,22,5990,22166
38,2020,2,2,12,5990,22166
39,2020,2,25,8,5990,22166
40,2020,2,23,12,5680,37042
41,2020,2,8,13,5990,22166
42,2020,2,23,23,5990,22166
43,2020,2,25,5,5680,37042
44,2020,3,25,10,5490,37042
45,2020,4,2,5,5490,37042
46,2020,2,17,18,5990,22166
