No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,18,2350,52100
1,2020,2,18,5,2350,52100
2,2020,2,13,10,2350,52100
3,2020,2,23,21,2350,52100
4,2020,2,9,5,2350,52100
5,2020,2,12,19,2350,52100
6,2020,2,10,8,2350,52100
7,2020,2,25,3,2350,52100
8,2020,2,21,17,2350,52100
9,2020,2,7,19,2350,52100
10,2020,2,14,5,2350,52100
11,2020,2,24,2,2350,52100
12,2020,2,8,21,2350,52100
13,2020,2,17,13,2350,52100
14,2020,4,9,11,2450,64563
15,2020,5,6,8,2400,64563
16,2020,2,20,4,2350,52100
17,2020,2,19,19,2350,52100
