No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,14,4400,26477
1,2020,2,22,7,4350,24237
2,2020,2,24,6,3990,36000
3,2020,2,5,2,4400,26477
4,2020,2,4,5,4400,26477
5,2020,2,12,13,4150,40614
6,2020,2,3,1,4400,26477
7,2020,2,20,15,4350,24237
8,2020,2,13,21,4150,40614
9,2020,2,21,8,4350,24237
10,2020,2,10,17,3990,36000
11,2020,2,23,13,4400,26477
12,2020,2,5,14,4150,40614
13,2020,2,22,20,4400,26477
14,2020,4,2,6,4080,20911
15,2020,2,3,2,4150,40614
16,2020,2,25,3,4350,24237
17,2020,2,14,0,3990,36000
18,2020,2,24,19,4400,26477
19,2020,2,2,22,4400,26477
20,2020,2,23,5,3990,36000
21,2020,2,21,18,4150,40614
22,2020,2,20,20,4400,26477
23,2020,2,24,5,4350,24237
24,2020,2,13,10,4400,26477
25,2020,2,19,9,3990,36000
26,2020,2,22,17,3990,36000
27,2020,2,10,12,4400,26477
28,2020,2,21,17,3990,36000
29,2020,2,6,17,3990,36000
30,2020,2,9,9,4400,26477
31,2020,2,8,23,4400,26477
32,2020,2,23,11,4350,24237
33,2020,2,12,10,4400,26477
34,2020,2,19,21,4150,40614
35,2020,2,20,1,3990,36000
36,2020,2,10,9,4150,40614
37,2020,2,23,20,4150,40614
38,2020,4,2,4,3950,40614
39,2020,2,9,3,3990,36000
40,2020,3,25,11,3950,40614
41,2020,2,6,13,4400,26477
42,2020,2,13,15,3990,36000
43,2020,2,6,9,4150,40614
44,2020,2,20,6,4150,40614
45,2020,4,3,13,3950,40614
46,2020,2,7,4,4150,40614
47,2020,2,12,14,3990,36000
48,2020,2,8,8,3990,36000
49,2020,2,7,20,3990,36000
50,2020,2,2,12,4150,40614
51,2020,2,4,11,4150,40614
52,2020,2,9,13,4150,40614
53,2020,4,23,2,4080,20911
54,2020,2,8,20,4150,40614
55,2020,4,9,11,4080,20911
56,2020,2,25,3,4400,26477
57,2020,2,22,2,4150,40614
58,2020,2,14,4,4400,26477
59,2020,2,21,23,4400,26477
60,2020,4,3,14,4080,20911
61,2020,2,17,21,3990,36000
62,2020,2,18,6,3990,36000
63,2020,2,24,19,4150,40614
64,2020,2,25,6,3990,36000
65,2020,2,14,3,4150,40614
66,2020,2,18,6,4400,26477
67,2020,4,9,12,3850,40614
68,2020,2,17,20,4400,26477
69,2020,2,17,18,4150,40614
70,2020,5,6,7,3850,40614
