No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,3,2290,66087
1,2020,2,12,13,2290,66087
2,2020,2,23,10,2290,66087
3,2020,2,2,16,2340,66087
4,2020,2,19,12,2290,66087
5,2020,2,20,15,2290,66087
6,2020,4,2,4,2150,86000
7,2020,2,21,16,2290,66087
8,2020,2,5,7,2290,66087
9,2020,2,6,18,2290,66087
10,2020,2,3,15,2340,66087
11,2020,2,10,13,2290,66087
12,2020,2,7,4,2290,66087
13,2020,2,22,17,2290,66087
14,2020,2,9,5,2290,66087
15,2020,2,13,0,2290,66087
16,2020,2,25,5,2290,66087
17,2020,2,24,15,2290,66087
18,2020,2,4,6,2340,66087
19,2020,2,8,1,2290,66087
20,2020,2,18,9,2290,66087
21,2020,2,4,10,2290,66087
22,2020,2,17,21,2290,66087
23,2020,4,9,10,2130,86000
24,2020,4,3,14,2150,86000
25,2020,3,25,12,2210,86000
