No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,10,34000,16655
1,2020,2,2,18,34000,16655
2,2020,5,6,8,34000,16655
3,2020,2,14,2,34000,16655
4,2020,2,24,2,34000,16655
5,2020,2,25,1,34000,16655
6,2020,2,12,21,34000,16655
7,2020,2,8,18,34000,16655
8,2020,2,13,8,34000,16655
9,2020,2,3,11,34000,16655
10,2020,2,21,11,34000,16655
11,2020,2,23,21,34000,16655
12,2020,2,5,22,34000,16655
13,2020,2,22,11,34000,16655
14,2020,3,25,12,34000,16655
15,2020,2,6,3,34000,16655
16,2020,2,10,13,34000,16655
17,2020,4,2,4,34000,16655
18,2020,2,9,22,34000,16655
19,2020,2,7,12,34000,16655
20,2020,2,20,13,34000,16655
21,2020,2,4,13,34000,16655
22,2020,4,9,11,34000,16655
23,2020,2,18,3,34000,16655
