No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,25,2,7890,29253
1,2020,2,5,21,7890,29253
2,2020,2,7,6,7890,29253
3,2020,2,21,2,7890,29253
4,2020,2,6,11,7890,29253
5,2020,2,3,18,7890,29253
6,2020,2,13,2,7890,29253
7,2020,2,8,3,7890,29253
8,2020,2,4,9,7890,29253
9,2020,2,24,23,7890,29253
10,2020,2,12,22,7890,29253
11,2020,2,23,11,7890,29253
12,2020,2,22,5,7890,29253
13,2020,2,14,1,7890,29253
14,2020,2,20,13,7890,29253
15,2020,2,19,14,7890,29253
16,2020,2,18,9,7890,29253
17,2020,2,27,12,7890,29253
18,2020,2,2,13,7890,29253
19,2020,2,10,18,7890,29253
20,2020,2,9,23,7890,29253
21,2020,2,17,20,7890,29253
22,2020,5,6,7,7790,29253
