No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,17,1150,83575
1,2020,2,13,12,1290,62540
2,2020,2,18,5,1150,83575
3,2020,2,9,14,1150,83575
4,2020,2,6,1,1150,83575
5,2020,2,14,5,1150,83575
6,2020,2,4,0,1150,83575
7,2020,2,12,12,1150,83575
8,2020,2,10,6,1150,83575
9,2020,2,2,12,1290,62540
10,2020,2,3,15,1150,83575
11,2020,2,2,17,1150,83575
12,2020,2,12,11,1290,62540
13,2020,2,14,0,1290,62540
14,2020,2,22,18,1290,62540
15,2020,2,6,14,1290,62540
16,2020,2,13,22,1150,83575
17,2020,2,7,16,1290,62540
18,2020,2,17,14,1290,62540
19,2020,2,8,12,1150,83575
20,2020,2,20,3,1150,83575
21,2020,2,25,6,1290,62540
22,2020,2,20,0,1290,62540
23,2020,2,21,1,1290,62540
24,2020,2,7,10,1150,83575
25,2020,2,3,10,1290,62540
26,2020,2,23,9,1290,62540
27,2020,2,23,6,1150,83575
28,2020,2,24,11,1290,62540
29,2020,2,4,5,1290,62540
30,2020,2,21,1,1150,83575
31,2020,2,17,18,1150,83575
32,2020,2,8,16,1290,62540
33,2020,3,25,12,1450,21000
34,2020,2,24,20,1150,83575
35,2020,4,9,12,1290,62540
36,2020,4,3,14,1290,62540
37,2020,2,18,9,1290,62540
38,2020,4,2,3,1450,21000
39,2020,2,5,7,1150,83575
40,2020,2,5,14,1290,62540
41,2020,4,9,10,1250,58247
42,2020,2,9,6,1290,62540
43,2020,2,10,7,1290,62540
44,2020,4,2,3,1250,58247
45,2020,2,19,11,1290,62540
46,2020,4,3,12,1450,21000
47,2020,4,3,12,1250,58247
48,2020,3,25,11,1250,58247
49,2020,3,25,11,1290,62540
