No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,8,2030,39000
1,2020,2,23,22,2030,39000
2,2020,2,7,19,1980,39000
3,2020,2,9,13,1980,39000
4,2020,2,10,14,2030,39000
5,2020,2,13,21,2030,39000
6,2020,2,8,12,1980,39000
7,2020,2,12,3,2030,39000
8,2020,2,2,14,1930,39000
9,2020,2,25,10,2030,39000
10,2020,2,17,20,2030,39000
11,2020,2,19,12,2030,39000
12,2020,2,4,20,1930,39000
13,2020,2,22,23,2030,39000
14,2020,2,6,9,1980,39000
15,2020,2,24,23,2030,39000
16,2020,2,21,20,2030,39000
17,2020,2,10,5,1980,39000
18,2020,2,20,22,2030,39000
19,2020,2,3,5,1930,39000
20,2020,2,18,6,2030,39000
21,2020,2,6,1,1930,39000
22,2020,2,5,3,1930,39000
