No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,8,2180,43195
1,2020,2,13,2,2180,43195
2,2020,2,9,12,2180,43195
3,2020,2,8,12,2180,43195
4,2020,4,9,12,2030,45317
5,2020,2,3,10,2250,43195
6,2020,2,4,8,2250,43195
7,2020,2,6,18,2180,43195
8,2020,2,22,3,2180,43195
9,2020,2,19,11,2180,43195
10,2020,2,10,5,2180,43195
11,2020,2,23,7,2180,43195
12,2020,2,24,17,2180,43195
13,2020,2,20,13,2180,43195
14,2020,2,12,13,2180,43195
15,2020,2,21,13,2180,43195
16,2020,2,2,12,2180,43195
17,2020,2,7,22,2180,43195
18,2020,2,5,21,2250,43195
19,2020,2,18,6,2180,43195
20,2020,2,6,2,2250,43195
21,2020,2,25,4,2180,43195
22,2020,2,3,1,2180,43195
23,2020,2,17,14,2180,43195
24,2020,4,2,5,2030,45317
