No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,9,1150,63191
1,2020,2,3,5,1150,63191
2,2020,2,12,19,1110,63191
3,2020,2,23,7,1090,63191
4,2020,2,6,5,1150,63191
5,2020,2,13,20,1110,63191
6,2020,2,10,17,1110,63191
7,2020,2,21,23,1150,63191
8,2020,2,17,18,1150,63191
9,2020,2,14,5,1150,63191
10,2020,2,4,9,1150,63191
11,2020,2,8,8,1150,63191
12,2020,2,9,12,1150,63191
13,2020,2,24,4,1090,63191
14,2020,4,3,13,720,200841
15,2020,2,22,10,720,200841
16,2020,2,5,10,1150,63191
17,2020,2,7,21,1150,63191
18,2020,2,25,2,1090,63191
19,2020,2,20,17,1150,63191
20,2020,3,25,11,1070,63191
21,2020,2,2,10,1150,63191
22,2020,2,25,0,720,200841
23,2020,2,23,23,720,200841
24,2020,2,24,0,720,200841
25,2020,3,25,11,720,200841
26,2020,2,20,18,720,200841
27,2020,2,19,18,1150,63191
28,2020,2,21,19,720,200841
29,2020,4,2,4,1070,63191
30,2020,2,10,5,1150,63191
31,2020,2,18,7,1150,63191
32,2020,5,6,7,670,200841
33,2020,4,2,3,720,200841
34,2020,4,9,11,720,200841
