No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,22,3180,30017
1,2020,2,13,12,3180,30017
2,2020,2,18,4,3180,30017
3,2020,2,24,17,3180,30017
4,2020,2,14,7,3180,30017
5,2020,2,2,14,3270,30017
6,2020,2,8,7,3270,30017
7,2020,2,12,16,3180,30017
8,2020,2,7,1,3270,30017
9,2020,2,17,12,3180,30017
10,2020,2,4,6,3270,30017
11,2020,2,22,5,3180,30017
12,2020,2,19,11,3180,30017
13,2020,2,5,22,3270,30017
14,2020,2,23,7,3180,30017
15,2020,2,27,12,3180,30017
16,2020,2,9,12,3270,30017
17,2020,2,10,15,3180,30017
18,2020,2,20,22,3180,30017
19,2020,2,3,1,3270,30017
20,2020,2,25,6,3180,30017
21,2020,2,6,2,3270,30017
22,2020,2,10,5,3270,30017
