No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,7,690,137950
1,2020,2,24,1,690,137950
2,2020,2,18,4,690,137950
3,2020,2,4,10,690,137950
4,2020,2,23,13,690,137950
5,2020,2,13,8,690,137950
6,2020,2,12,21,690,137950
7,2020,2,3,15,690,137950
8,2020,2,20,19,690,137950
9,2020,2,21,9,690,137950
10,2020,2,9,7,690,137950
11,2020,2,5,0,690,137950
12,2020,2,6,4,690,137950
13,2020,2,19,21,690,137950
14,2020,2,17,18,690,137950
15,2020,2,2,21,690,137950
16,2020,2,14,6,690,137950
17,2020,2,10,12,690,137950
18,2020,2,7,21,690,137950
19,2020,2,8,19,690,137950
20,2020,2,25,4,690,137950
