No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,9,9500,34875
1,2020,2,22,0,20000,34875
2,2020,2,24,9,20000,34875
3,2020,2,8,1,9500,34875
4,2020,2,12,11,99,34875
5,2020,2,12,21,20000,34875
6,2020,2,13,5,20000,34875
7,2020,2,19,16,20000,34875
8,2020,2,23,23,20000,34875
9,2020,2,18,4,20000,34875
10,2020,2,10,18,9500,34875
11,2020,2,5,17,9500,34875
12,2020,2,7,10,9500,34875
13,2020,2,17,14,20000,34875
14,2020,2,21,2,20000,34875
15,2020,2,14,1,20000,34875
16,2020,2,20,20,20000,34875
17,2020,2,9,8,9500,34875
18,2020,2,25,0,20000,34875
