No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,0,2650,21536
1,2020,2,2,18,2699,21536
2,2020,2,21,1,2650,21536
3,2020,2,14,0,2650,21536
4,2020,2,8,20,2650,21536
5,2020,2,24,21,2650,21536
6,2020,2,5,3,2650,21536
7,2020,2,23,14,2650,21536
8,2020,2,20,1,2650,21536
9,2020,2,13,11,2650,21536
10,2020,2,3,22,2650,21536
11,2020,2,12,22,2650,21536
12,2020,2,25,10,2650,21536
13,2020,2,10,6,2650,21536
14,2020,2,6,11,2650,21536
15,2020,2,7,5,2650,21536
16,2020,2,9,16,2650,21536
17,2020,2,22,3,2650,21536
18,2020,2,19,14,2650,21536
19,2020,2,17,20,2650,21536
20,2020,2,18,8,2650,21536
