No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,16,790,132376
1,2020,2,23,3,790,132376
2,2020,2,13,14,790,132376
3,2020,2,9,19,790,132376
4,2020,2,12,15,790,132376
5,2020,2,8,4,790,132376
6,2020,2,3,15,790,132376
7,2020,2,20,12,790,132376
8,2020,2,6,1,790,132376
9,2020,2,19,16,790,132376
10,2020,2,4,17,790,132376
11,2020,2,22,12,790,132376
12,2020,2,2,20,790,132376
13,2020,2,5,2,790,132376
14,2020,2,7,20,790,132376
15,2020,2,10,10,790,132376
16,2020,2,24,1,790,132376
17,2020,2,25,6,790,132376
18,2020,2,18,9,790,132376
