No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,25,7,490,198414
1,2020,2,24,16,490,198414
2,2020,2,3,15,490,198414
3,2020,2,13,17,490,198414
4,2020,2,12,13,490,198414
5,2020,2,6,11,490,198414
6,2020,2,10,2,490,198414
7,2020,2,7,14,490,198414
8,2020,2,5,14,490,198414
9,2020,2,9,8,490,198414
10,2020,2,2,22,490,198414
11,2020,4,23,2,490,198414
12,2020,4,2,5,490,198414
13,2020,2,8,8,490,198414
14,2020,2,14,3,490,198414
15,2020,2,20,10,490,198414
16,2020,2,23,10,490,198414
17,2020,2,17,14,490,198414
18,2020,4,9,12,490,198414
19,2020,2,19,20,490,198414
20,2020,2,4,20,490,198414
21,2020,2,22,4,490,198414
22,2020,2,21,13,490,198414
23,2020,2,18,3,490,198414
