No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,16,4820,14854
1,2020,2,4,20,4820,14854
2,2020,2,22,21,4820,14854
3,2020,2,23,15,4820,14854
4,2020,2,14,1,4820,14854
5,2020,2,2,17,4820,14854
6,2020,2,9,14,4820,14854
7,2020,2,6,18,4820,14854
8,2020,2,12,21,4820,14854
9,2020,2,8,12,4820,14854
10,2020,2,7,22,4820,14854
11,2020,2,5,12,4820,14854
12,2020,2,20,19,4820,14854
13,2020,2,13,8,4820,14854
14,2020,2,10,1,4820,14854
15,2020,2,24,17,4820,14854
16,2020,2,21,13,4820,14854
17,2020,2,25,10,4820,14854
18,2020,2,17,18,4820,14854
19,2020,2,3,10,4820,14854
20,2020,2,18,10,4820,14854
