No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,14,3050,63347
1,2020,2,3,13,2880,63347
2,2020,2,12,5,3050,63347
3,2020,2,9,20,2790,75521
4,2020,2,7,8,2880,63347
5,2020,2,13,3,3050,63347
6,2020,4,2,3,2750,50155
7,2020,2,12,15,2790,75521
8,2020,2,8,22,2880,63347
9,2020,2,4,11,2880,63347
10,2020,2,2,16,2790,75521
11,2020,2,14,10,3050,63347
12,2020,2,10,11,3050,63347
13,2020,2,13,11,2790,75521
14,2020,2,6,3,2880,63347
15,2020,2,6,22,2790,75521
16,2020,2,19,16,2790,75521
17,2020,2,8,22,2790,75521
18,2020,2,20,9,2790,75521
19,2020,2,2,13,2880,63347
20,2020,2,4,23,2790,75521
21,2020,2,9,21,3050,63347
22,2020,2,17,21,2790,75521
23,2020,2,7,11,2790,75521
24,2020,2,10,16,2790,75521
25,2020,2,5,22,2790,75521
26,2020,4,3,15,2750,50155
27,2020,2,21,14,3050,63347
28,2020,2,20,18,3050,63347
29,2020,2,22,0,2790,75521
30,2020,2,5,7,2880,63347
31,2020,2,24,10,2790,75521
32,2020,2,3,2,2790,75521
33,2020,2,22,6,3050,63347
34,2020,2,23,18,2790,75521
35,2020,2,21,8,2790,75521
36,2020,2,23,17,3050,63347
37,2020,2,18,3,2790,75521
38,2020,2,14,0,2790,75521
39,2020,2,17,14,3050,63347
40,2020,2,19,16,3050,63347
41,2020,5,6,6,2750,50155
42,2020,2,18,9,3050,63347
