No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,3,3150,69109
1,2020,2,17,14,3150,69109
2,2020,2,9,13,3150,69109
3,2020,2,14,4,3150,69109
4,2020,2,5,9,3150,69109
5,2020,2,13,2,3150,69109
6,2020,2,7,15,3150,69109
7,2020,2,3,15,3150,69109
8,2020,2,19,16,3150,69109
9,2020,2,20,22,3150,69109
10,2020,2,22,3,3150,69109
11,2020,2,21,15,3150,69109
12,2020,2,24,15,3150,69109
13,2020,2,8,20,3150,69109
14,2020,2,12,16,3150,69109
15,2020,2,4,5,3150,69109
16,2020,2,23,18,3150,69109
17,2020,2,2,18,3150,69109
18,2020,2,10,5,3150,69109
19,2020,2,18,10,3150,69109
