No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,22,3290,46000
1,2020,2,4,1,3290,46000
2,2020,2,10,9,3290,46000
3,2020,2,22,17,3290,46000
4,2020,2,7,12,3290,46000
5,2020,2,18,8,3290,46000
6,2020,2,19,15,3290,46000
7,2020,2,2,9,3290,46000
8,2020,2,14,2,3290,46000
9,2020,2,8,1,3290,46000
10,2020,2,6,22,3290,46000
11,2020,2,20,2,3290,46000
12,2020,2,13,4,3290,46000
13,2020,2,9,5,3290,46000
14,2020,2,3,16,3290,46000
15,2020,2,5,14,3290,46000
16,2020,2,24,18,3290,46000
17,2020,2,23,15,3290,46000
18,2020,2,21,6,3290,46000
19,2020,2,25,8,3290,46000
