No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,5,3650,45942
1,2020,4,2,4,3650,45942
2,2020,2,4,4,390,37900
3,2020,2,10,9,3650,45942
4,2020,2,20,7,3650,45942
5,2020,2,21,16,250,37900
6,2020,2,9,14,390,37900
7,2020,2,6,17,3650,45942
8,2020,2,10,17,390,37900
9,2020,2,8,17,3650,45942
10,2020,2,25,1,3650,45942
11,2020,2,7,1,390,37900
12,2020,2,13,10,390,37900
13,2020,2,24,9,3650,45942
14,2020,2,5,22,390,37900
15,2020,2,2,18,390,37900
16,2020,2,6,16,390,37900
17,2020,2,25,4,250,37900
18,2020,2,24,2,250,37900
19,2020,2,20,22,390,37900
20,2020,2,9,21,3650,45942
21,2020,2,8,2,390,37900
22,2020,2,12,9,3650,45942
23,2020,2,7,12,3650,45942
24,2020,4,2,3,250,37900
25,2020,3,25,11,250,37900
26,2020,2,3,6,390,37900
27,2020,2,21,7,3650,45942
28,2020,2,13,22,3650,45942
29,2020,2,19,13,3650,45942
30,2020,2,17,21,390,37900
31,2020,2,14,9,3650,45942
32,2020,2,22,18,250,37900
33,2020,2,12,16,390,37900
34,2020,2,23,2,250,37900
35,2020,2,23,6,3650,45942
36,2020,2,14,7,390,37900
37,2020,2,19,10,390,37900
38,2020,3,25,12,3650,45942
39,2020,2,18,7,3650,45942
