No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,13,2050,108887
1,2020,2,24,9,2050,108887
2,2020,2,22,7,2050,108887
3,2020,5,7,0,2050,108887
4,2020,2,7,17,2050,108887
5,2020,2,10,17,2050,108887
6,2020,2,4,2,2050,108887
7,2020,2,12,14,2050,108887
8,2020,2,21,12,2050,108887
9,2020,2,23,22,2050,108887
10,2020,2,6,4,2050,108887
11,2020,2,2,9,2050,108887
12,2020,2,9,23,2050,108887
13,2020,2,3,11,2050,108887
14,2020,2,14,9,2050,108887
15,2020,2,5,15,2050,108887
16,2020,2,17,18,2050,108887
17,2020,2,18,9,2050,108887
18,2020,2,8,22,2050,108887
19,2020,2,20,6,2050,108887
20,2020,4,3,13,2050,108887
21,2020,2,25,8,2050,108887
22,2020,3,25,11,2050,108887
23,2020,2,19,18,2050,108887
