No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,21,4550,37933
1,2020,2,3,19,4630,67654
2,2020,2,5,19,4630,67654
3,2020,2,20,2,4630,67654
4,2020,2,24,20,4490,37933
5,2020,2,8,7,4630,67654
6,2020,2,7,3,4630,67654
7,2020,2,19,16,4490,37933
8,2020,2,21,11,4490,37933
9,2020,4,2,4,4630,67654
10,2020,2,9,12,4630,67654
11,2020,2,12,14,4630,67654
12,2020,2,13,13,4630,67654
13,2020,2,13,16,4550,37933
14,2020,4,3,12,4630,67654
15,2020,2,23,6,4490,37933
16,2020,2,22,6,4490,37933
17,2020,2,14,5,4630,67654
18,2020,2,4,21,4630,67654
19,2020,4,2,3,4850,24942
20,2020,2,17,18,4490,37933
21,2020,2,18,7,4490,37933
22,2020,2,6,7,4630,67654
23,2020,2,17,18,4630,67654
24,2020,2,14,5,4550,37933
25,2020,4,9,11,4630,67654
26,2020,5,6,8,4630,67654
27,2020,2,24,3,4630,67654
28,2020,4,3,14,4850,24942
29,2020,2,9,17,4550,37933
30,2020,2,12,17,4550,37933
31,2020,2,20,6,4490,37933
32,2020,2,25,7,4630,67654
33,2020,2,22,11,4630,67654
34,2020,2,23,7,4630,67654
35,2020,2,2,8,4630,67654
36,2020,2,7,20,4550,37933
37,2020,2,10,0,4550,37933
38,2020,2,21,22,4630,67654
39,2020,2,10,0,4630,67654
40,2020,2,19,10,4630,67654
41,2020,2,25,5,4490,37933
42,2020,4,9,10,4850,24942
43,2020,2,18,8,4630,67654
