No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,14,6599,6610
1,2020,2,6,9,6380,15558
2,2020,2,5,12,5700,4045
3,2020,2,23,6,5700,4045
4,2020,2,17,19,6599,6610
5,2020,2,3,21,6360,15558
6,2020,2,8,11,5700,4045
7,2020,2,25,7,5700,4045
8,2020,2,7,12,6599,6610
9,2020,2,24,1,6140,24283
10,2020,2,13,2,6140,24283
11,2020,2,20,20,6140,24283
12,2020,2,21,10,6380,15558
13,2020,3,25,11,5950,21369
14,2020,2,21,6,6599,6610
15,2020,2,12,16,6380,15558
16,2020,2,5,19,6360,15558
17,2020,2,13,20,6380,15558
18,2020,2,9,14,6599,6610
19,2020,2,20,21,6599,6610
20,2020,2,12,13,5700,4045
21,2020,2,4,8,6599,6610
22,2020,2,7,15,6380,15558
23,2020,2,4,23,5700,4045
24,2020,2,3,14,5700,4045
25,2020,2,19,22,6599,6610
26,2020,2,20,1,5700,4045
27,2020,2,19,14,6380,15558
28,2020,2,13,4,5700,4045
29,2020,2,19,15,6140,24283
30,2020,2,20,3,6380,15558
31,2020,2,24,20,6380,15558
32,2020,2,10,10,6380,15558
33,2020,2,22,11,6140,24283
34,2020,2,21,2,6140,24283
35,2020,2,9,17,6380,15558
36,2020,2,23,5,6599,6610
37,2020,2,17,13,5700,4045
38,2020,2,25,4,6380,15558
39,2020,2,14,0,6380,15558
40,2020,2,12,10,6140,24283
41,2020,2,12,5,6599,6610
42,2020,2,14,0,5700,4045
43,2020,2,9,2,5700,4045
44,2020,2,23,20,6140,24283
45,2020,2,17,18,6380,15558
46,2020,2,17,18,6140,24283
47,2020,5,6,7,5980,21369
48,2020,2,13,10,6599,6610
49,2020,2,7,22,5700,4045
50,2020,2,25,6,6140,24283
51,2020,2,22,14,5700,4045
52,2020,2,8,16,6380,15558
53,2020,2,24,19,5700,4045
54,2020,2,18,10,6599,6610
55,2020,2,10,3,6599,6610
56,2020,2,14,4,6599,6610
57,2020,2,5,1,6599,6610
58,2020,2,6,8,5700,4045
59,2020,2,4,21,6360,15558
60,2020,2,22,6,6380,15558
61,2020,2,2,9,6360,15558
62,2020,2,10,5,5700,4045
63,2020,2,21,4,5700,4045
64,2020,2,2,11,5700,4045
65,2020,2,18,7,6380,15558
66,2020,2,23,12,6380,15558
67,2020,4,9,10,5950,21369
68,2020,2,25,5,6599,6610
69,2020,2,3,19,6599,6610
70,2020,2,24,5,6599,6610
71,2020,2,6,23,6599,6610
72,2020,2,22,12,6599,6610
73,2020,2,19,18,5700,4045
74,2020,4,3,15,5950,21369
75,2020,2,2,17,6599,6610
76,2020,2,18,3,5700,4045
77,2020,2,14,0,6140,24283
78,2020,2,18,7,6140,24283
79,2020,2,6,2,6360,15558
80,2020,2,27,13,5950,21369
