No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,11,4800,81000
1,2020,2,24,1,4800,81000
2,2020,2,10,16,4800,81000
3,2020,2,9,20,4800,81000
4,2020,2,13,4,5300,59350
5,2020,2,5,19,5300,59350
6,2020,2,22,21,4800,81000
7,2020,2,14,8,4800,81000
8,2020,2,7,10,5300,59350
9,2020,2,13,7,4800,81000
10,2020,2,12,23,5300,59350
11,2020,2,4,18,4800,81000
12,2020,2,20,23,4800,81000
13,2020,2,10,18,5300,59350
14,2020,2,20,23,5150,59350
15,2020,2,23,8,5150,59350
16,2020,2,6,2,4800,81000
17,2020,2,21,10,5150,59350
18,2020,2,2,21,5300,59350
19,2020,2,12,16,4800,81000
20,2020,2,17,21,5300,59350
21,2020,2,22,6,5150,59350
22,2020,2,9,19,5300,59350
23,2020,2,8,14,5300,59350
24,2020,2,21,1,4800,81000
25,2020,2,24,21,5150,59350
26,2020,2,4,22,5300,59350
27,2020,2,18,4,5300,59350
28,2020,4,9,12,5150,59350
29,2020,2,23,23,4800,81000
30,2020,2,5,21,4800,81000
31,2020,2,25,7,4800,81000
32,2020,2,3,21,4820,81000
33,2020,2,19,18,4800,81000
34,2020,2,6,8,5300,59350
35,2020,2,19,21,5150,59350
36,2020,2,8,15,4800,81000
37,2020,2,3,5,5300,59350
38,2020,2,2,8,4820,81000
39,2020,2,14,3,5300,59350
40,2020,2,17,20,4800,81000
41,2020,2,25,11,5150,59350
42,2020,2,18,3,4800,81000
43,2020,4,23,2,4990,29613
