No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,22,4890,25000
1,2020,2,5,4,4890,25000
2,2020,2,8,7,4890,25000
3,2020,2,6,16,4890,25000
4,2020,2,7,3,4890,25000
5,2020,2,23,1,4890,25000
6,2020,2,21,18,4890,25000
7,2020,2,24,0,4890,25000
8,2020,2,9,12,4890,25000
9,2020,2,10,7,4890,25000
10,2020,2,22,3,4890,25000
11,2020,2,20,22,4890,25000
12,2020,2,17,13,4890,25000
13,2020,2,13,19,4890,25000
14,2020,2,14,0,4890,25000
15,2020,2,25,3,5599,11758
16,2020,2,25,2,4890,25000
17,2020,2,24,9,5599,11758
18,2020,2,4,14,4890,0
19,2020,5,6,8,4400,54555
20,2020,2,19,22,4890,25000
21,2020,2,18,7,4890,25000
