No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,4,8090,70000
1,2020,2,8,12,8090,70000
2,2020,2,3,21,8090,70000
3,2020,2,14,4,8090,70000
4,2020,2,19,12,8090,70000
5,2020,2,7,20,8090,70000
6,2020,2,24,18,7960,70000
7,2020,2,10,4,8090,70000
8,2020,2,21,19,7960,70000
9,2020,2,12,12,8090,70000
10,2020,2,18,9,8090,70000
11,2020,2,20,3,8090,70000
12,2020,2,9,7,8090,70000
13,2020,2,23,13,7960,70000
14,2020,2,22,10,7960,70000
15,2020,2,5,4,8090,70000
16,2020,2,2,12,8090,70000
17,2020,2,4,12,8090,70000
18,2020,2,6,11,8090,70000
19,2020,2,25,8,7960,70000
20,2020,2,17,13,8090,70000
21,2020,2,21,2,8090,70000
