No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,11,8950,137000
1,2020,2,6,14,12800,33000
2,2020,2,8,0,8950,137000
3,2020,2,14,1,8950,137000
4,2020,2,12,18,8950,137000
5,2020,2,7,10,8950,137000
6,2020,2,10,4,12800,33000
7,2020,2,3,9,8950,137000
8,2020,2,8,7,12800,33000
9,2020,2,20,22,8950,137000
10,2020,2,4,5,12800,33000
11,2020,2,25,2,12800,33000
12,2020,4,9,11,8950,137000
13,2020,2,24,4,8950,137000
14,2020,2,14,7,12800,33000
15,2020,2,2,15,12800,33000
16,2020,2,21,4,8950,137000
17,2020,2,2,8,8950,137000
18,2020,2,13,1,8950,137000
19,2020,2,9,22,12800,33000
20,2020,2,4,14,8950,137000
21,2020,2,13,6,12800,33000
22,2020,2,24,13,12800,33000
23,2020,2,3,19,12800,33000
24,2020,2,22,0,12800,33000
25,2020,2,6,2,8950,137000
26,2020,2,19,17,12800,33000
27,2020,2,5,8,12800,33000
28,2020,2,12,16,12800,33000
29,2020,2,20,21,12800,33000
30,2020,2,18,5,8950,137000
31,2020,2,25,4,8950,137000
32,2020,2,23,2,12800,33000
33,2020,4,3,15,12000,37000
34,2020,2,21,14,12800,33000
35,2020,4,2,3,12000,37000
36,2020,2,17,13,12800,33000
37,2020,2,23,3,8950,137000
38,2020,4,23,2,11200,51350
39,2020,3,25,12,11700,25842
40,2020,2,22,3,8950,137000
41,2020,4,9,11,12000,37000
42,2020,2,9,5,8950,137000
43,2020,2,7,16,12800,33000
44,2020,4,2,3,8950,137000
45,2020,5,6,6,8950,137000
46,2020,2,19,16,8950,137000
47,2020,3,25,11,8950,137000
48,2020,2,18,9,12800,33000
49,2020,4,2,4,11500,51350
50,2020,2,10,7,8950,137000
51,2020,3,25,13,11500,51350
52,2020,4,3,13,8950,137000
53,2020,4,2,4,11700,25842
