No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,20,3050,26643
1,2020,2,2,14,3050,26643
2,2020,2,14,0,3050,26643
3,2020,2,8,13,3050,26643
4,2020,2,5,19,3050,26643
5,2020,2,6,21,3050,26643
6,2020,2,10,3,3050,26643
7,2020,2,20,10,3050,26643
8,2020,2,17,20,3050,26643
9,2020,2,12,22,3050,26643
10,2020,2,13,9,3050,26643
11,2020,2,3,1,3050,26643
12,2020,2,19,17,3050,26643
13,2020,2,23,3,3050,26643
14,2020,2,4,14,3050,26643
15,2020,2,9,12,3050,26643
16,2020,2,25,3,3050,26643
17,2020,2,24,3,3050,26643
18,2020,2,21,20,3050,26643
19,2020,2,22,5,3050,26643
