No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,16,4690,110563
1,2020,2,12,18,4620,85000
2,2020,2,22,23,5190,54769
3,2020,2,10,12,4690,110563
4,2020,2,25,3,4630,110563
5,2020,4,2,3,4620,85000
6,2020,2,12,6,4690,110563
7,2020,2,13,18,4690,110563
8,2020,2,19,21,4690,110563
9,2020,2,10,18,5190,54769
10,2020,2,5,3,5290,54769
11,2020,2,6,6,5290,54769
12,2020,2,7,21,5290,54769
13,2020,2,20,22,5190,54769
14,2020,2,19,19,4620,85000
15,2020,2,7,1,4620,85000
16,2020,2,21,21,4590,110563
17,2020,2,20,20,4690,110563
18,2020,2,22,10,4590,110563
19,2020,2,8,14,4620,85000
20,2020,2,23,9,4630,110563
21,2020,2,12,10,5190,54769
22,2020,2,5,23,4620,85000
23,2020,4,3,14,5090,54769
24,2020,2,13,19,4620,85000
25,2020,2,8,10,5290,54769
26,2020,2,18,9,4690,110563
27,2020,2,9,4,5290,54769
28,2020,2,5,9,4690,110563
29,2020,2,17,13,5190,54769
30,2020,2,9,17,4620,85000
31,2020,2,19,21,5190,54769
32,2020,2,23,12,5190,54769
33,2020,2,4,5,4620,85000
34,2020,2,3,0,5290,54769
35,2020,2,24,16,4630,110563
36,2020,2,3,14,4750,110563
37,2020,2,6,6,4690,110563
38,2020,2,17,19,4690,110563
39,2020,2,14,7,5190,54769
40,2020,2,22,20,4620,85000
41,2020,2,9,2,4690,110563
42,2020,2,13,23,5190,54769
43,2020,2,3,13,4620,85000
44,2020,2,8,15,4690,110563
45,2020,2,18,10,5190,54769
46,2020,2,4,12,5290,54769
47,2020,2,24,21,4620,85000
48,2020,2,2,13,5290,54769
49,2020,2,23,3,4620,85000
50,2020,2,6,1,4620,85000
51,2020,2,25,2,5190,54769
52,2020,2,2,11,4620,85000
53,2020,4,9,10,5090,54769
54,2020,2,24,4,5190,54769
55,2020,2,21,5,5190,54769
56,2020,2,14,1,4620,85000
57,2020,2,27,12,5190,54769
58,2020,3,25,11,4550,110563
59,2020,2,10,2,4620,85000
60,2020,4,3,14,5050,66662
61,2020,2,14,1,4690,110563
62,2020,5,6,8,4890,54769
63,2020,2,7,8,4690,110563
64,2020,4,9,12,4500,85000
65,2020,2,4,5,4750,110563
66,2020,4,2,6,5090,54769
67,2020,2,18,9,4620,85000
68,2020,3,25,13,5050,66662
69,2020,2,20,3,4620,85000
70,2020,2,21,5,4620,85000
71,2020,4,3,15,4550,110563
72,2020,2,23,4,4590,110563
73,2020,2,10,1,5290,54769
74,2020,5,6,8,4400,85000
75,2020,2,21,2,4690,110563
76,2020,2,27,13,4590,110563
