No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,3,9900,12759
1,2020,5,6,9,9700,12759
2,2020,2,24,19,9900,12759
3,2020,2,13,23,9900,12759
4,2020,2,23,1,9900,12759
5,2020,2,12,6,9900,12759
6,2020,2,2,10,9900,12759
7,2020,2,6,9,9900,12759
8,2020,4,2,5,9700,12759
9,2020,2,17,18,9900,12759
10,2020,2,3,10,9900,12759
11,2020,2,22,19,9900,12759
12,2020,2,14,4,9900,12759
13,2020,2,9,22,9900,12759
14,2020,2,18,8,9900,12759
15,2020,2,19,15,9900,12759
16,2020,4,9,10,9700,12759
17,2020,2,21,4,9900,12759
18,2020,2,10,9,9900,12759
19,2020,2,5,2,9900,12759
20,2020,2,8,4,9900,12759
21,2020,2,7,11,9900,12759
22,2020,4,3,12,9700,12759
23,2020,2,4,8,9900,12759
