No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,8,1330,110583
1,2020,2,19,11,1330,110583
2,2020,2,23,18,1330,110583
3,2020,2,13,0,1330,110583
4,2020,4,2,4,1100,261018
5,2020,2,6,9,1330,110583
6,2020,2,2,19,1350,110583
7,2020,2,10,15,1330,110583
8,2020,2,25,2,1330,110583
9,2020,2,9,1,1330,110583
10,2020,2,18,9,1330,110583
11,2020,2,7,12,1330,110583
12,2020,2,12,9,1330,110583
13,2020,2,17,21,1330,110583
14,2020,2,20,7,1330,110583
15,2020,2,24,19,1330,110583
16,2020,2,5,23,1330,110583
17,2020,2,4,12,1330,110583
18,2020,2,14,8,1330,110583
19,2020,2,8,21,1330,110583
20,2020,2,22,21,1330,110583
21,2020,2,21,14,1330,110583
22,2020,4,3,15,1100,261018
23,2020,3,25,12,1100,261018
