No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,1,890,226193
1,2020,2,8,1,890,226193
2,2020,2,7,11,890,226193
3,2020,2,5,5,890,226193
4,2020,2,13,2,890,226193
5,2020,2,12,18,890,226193
6,2020,2,14,4,890,226193
7,2020,2,3,17,890,226193
8,2020,2,20,23,890,226193
9,2020,2,19,11,890,226193
10,2020,2,10,13,890,226193
11,2020,2,24,12,890,226193
12,2020,2,21,17,890,226193
13,2020,2,4,17,890,226193
14,2020,2,6,1,890,226193
15,2020,2,18,8,890,226193
16,2020,2,2,22,890,226193
17,2020,2,23,13,890,226193
18,2020,2,22,13,890,226193
