No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,19,1560,178500
1,2020,2,12,7,1560,178500
2,2020,2,14,5,1560,178500
3,2020,2,13,9,1560,178500
4,2020,2,6,3,1560,178500
5,2020,2,4,9,1560,178500
6,2020,2,2,18,1560,178500
7,2020,4,2,3,1560,178500
8,2020,2,7,17,1560,178500
9,2020,2,21,12,1560,178500
10,2020,2,20,14,1560,178500
11,2020,2,25,0,1560,178500
12,2020,2,8,20,1560,178500
13,2020,2,5,6,1560,178500
14,2020,2,24,3,1560,178500
15,2020,2,18,4,1560,178500
16,2020,3,25,12,1560,178500
17,2020,2,19,15,1560,178500
18,2020,2,17,13,1560,178500
19,2020,2,9,2,1560,178500
20,2020,2,23,2,1560,178500
21,2020,2,22,13,1560,178500
