No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,12,1700,142931
1,2020,2,23,21,1700,142931
2,2020,2,6,9,1700,142931
3,2020,2,13,1,1700,142931
4,2020,2,8,4,1700,142931
5,2020,2,2,15,1700,142931
6,2020,2,4,11,1700,142931
7,2020,2,24,12,1700,142931
8,2020,2,14,6,1700,142931
9,2020,3,25,11,1590,142931
10,2020,2,18,8,1700,142931
11,2020,2,5,0,1700,142931
12,2020,2,21,23,1700,142931
13,2020,2,12,22,1700,142931
14,2020,2,19,20,1700,142931
15,2020,2,10,17,1700,142931
16,2020,2,20,9,1700,142931
17,2020,2,7,1,1700,142931
18,2020,2,3,6,1700,142931
19,2020,4,2,3,1590,142931
20,2020,2,25,9,1700,142931
21,2020,2,22,17,1700,142931
22,2020,2,17,12,1700,142931
