No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,22,3550,80732
1,2020,2,14,7,9999,49126
2,2020,2,23,5,3550,80732
3,2020,2,13,19,2490,148419
4,2020,2,6,6,3550,80732
5,2020,2,2,20,2490,148419
6,2020,2,24,0,2420,148419
7,2020,2,23,10,9999,49126
8,2020,2,19,21,9999,49126
9,2020,2,5,13,3550,80732
10,2020,2,14,9,2490,148419
11,2020,2,6,23,2490,148419
12,2020,2,9,6,2490,148419
13,2020,2,24,1,9999,49126
14,2020,2,12,13,9999,49126
15,2020,2,10,1,3550,80732
16,2020,2,7,15,2490,148419
17,2020,2,4,11,3550,80732
18,2020,2,14,0,3550,80732
19,2020,2,13,0,9999,49126
20,2020,2,22,0,9999,49126
21,2020,4,2,3,2390,148419
22,2020,2,8,15,3550,49126
23,2020,2,12,21,3550,80732
24,2020,2,7,23,3550,80732
25,2020,2,8,3,3550,80732
26,2020,2,24,20,3550,80732
27,2020,2,3,8,3550,80732
28,2020,2,19,18,2420,148419
29,2020,2,4,11,2490,148419
30,2020,2,21,6,9999,49126
31,2020,2,5,13,2490,148419
32,2020,2,25,6,3550,80732
33,2020,2,12,17,2490,148419
34,2020,2,20,17,9999,49126
35,2020,2,10,4,3550,49126
36,2020,2,22,9,2420,148419
37,2020,2,10,11,2490,148419
38,2020,2,20,14,2420,148419
39,2020,2,3,4,2490,148419
40,2020,2,2,16,3550,80732
41,2020,2,9,11,3550,80732
42,2020,4,3,15,2390,148419
43,2020,3,25,12,3550,80732
44,2020,2,19,14,3550,80732
45,2020,2,21,1,3550,80732
46,2020,2,18,4,9999,49126
47,2020,2,23,2,2420,148419
48,2020,2,20,13,3550,80732
49,2020,2,25,8,9999,49126
50,2020,4,2,3,3550,80732
51,2020,2,9,15,3550,49126
52,2020,2,8,10,2490,148419
53,2020,2,21,10,2420,148419
54,2020,2,25,2,2420,148419
55,2020,2,22,3,3550,80732
56,2020,3,25,13,2390,148419
57,2020,2,7,9,3550,49126
58,2020,2,17,12,9999,49126
59,2020,2,17,13,2490,148419
