No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,16,1900,126000
1,2020,2,7,3,1900,126000
2,2020,2,13,0,1900,126000
3,2020,2,19,21,1900,126000
4,2020,2,21,1,1900,126000
5,2020,2,23,14,1900,126000
6,2020,2,14,0,1900,126000
7,2020,2,9,23,1900,126000
8,2020,2,3,11,1900,126000
9,2020,2,12,21,1900,126000
10,2020,2,4,23,1900,126000
11,2020,2,6,2,1900,126000
12,2020,2,10,8,1900,126000
13,2020,2,2,11,1900,126000
14,2020,2,24,6,1900,126000
15,2020,2,8,3,1900,126000
16,2020,2,17,19,1900,126000
17,2020,2,22,13,1900,126000
18,2020,2,20,10,1900,126000
19,2020,2,27,12,1900,126000
20,2020,4,3,13,1900,126000
21,2020,2,25,4,1900,126000
22,2020,4,2,6,1900,126000
23,2020,2,18,5,1900,126000
